Title,Month,Year,Author
A Novel Energy Efficient Routing Protocol EACBM for Scalable Wireless Sensor Networks,May,2018,"Amanjot Singh Toor;Jain, A K"
A Solution to Secure Personal Data When Aadhaar is linked with DigiLocker,May,2018,"Kumar, Vinay;Chaturvedi, Arpana;Dave, Meenu"
Inter Integrated WSN for Crude Oil Pipeline Monitoring,Mar,2018,"Bhavyarani, M P;Mahadeva Swamy, U B;Shrynik Jain, M B"
Secure Multiparty Computation for Privacy Preserving Range Queries on Medical Records for Star Exchange Topology,Mar,2018,"Tawfik, Ahmed M;Sabbeh, Sahar F;EL-Shishtawy, Tarek A"
A biometric security scheme for wireless body area networks,Jun,2018,Peyman Dodangeh; Amir Hossein Jahangir
Alleviating Malicious Insider Attacks in MANET using a Multipath On-demand Security Mechanism,Jun,2018,"Ahmad, Shahnawaz"
Ethical Network Surveillance using Packet Sniffing Tools: A Comparative Study,Jul,2018,Ibrahim Ali Ibrahim Diyeb;Anwar Saif;Nagi Ali Al-Shaibany
Achieving Confidentiality in Electronic Health Records using Cloud Systems,Jan,2018,"French-Baidoo, Robert;Asamoah, Dominic;Stephen Opoku Oppong"
Validation of an Adaptive Risk-based Access Control Model for the Internet of Things,Jan,2018,"Atlam, Hany F;Alenezi, Ahmed;Raid Khalid Hussein;Wills, Gary B"
Verification of Cloud Based Information Integration Architecture using Colored Petri Nets,Feb,2018,"Murale Narayanan;Cherukuri, Aswani Kumar"
Wireless Wearable Smart Healthcare Monitoring using Android,Feb,2018,"Manasa;Mahadevaswamy, U B"
A Novel Infrared (IR) Based Sensor System for Human Presence Detection in Targeted Locations,Dec,2018,"Kakelli, Anil Kumar;Dhadge, Omkar"
Mobility of Internet of Things and Fog Computing: Concerns and Future Directions,Dec,2018,"Ahanger, Tariq Ahamed;Tariq, Usman;Nusir, Muneer"
Multi-stage Key Management Scheme for Cluster based WSN,Dec,2018,"Saraswathi, R Vijaya;Sree, L Padma;Anuradha, K"
Privacy preservation of data using crow search with adaptive awareness probability,Dec,2018,Jyothi Mandala; M. V. P. Chandra Sekhara Rao
Security based Partner Selection in Inter-Organizational Workflow Systems,Dec,2018,"El Kandoussi, Asmaa;Elbakkali, Hanan"
A New Multi-threaded and Interleaving Approach to Enhance String Matching for Intrusion Detection Systems,Aug,2018,"Shatnawi, Ali;AlHajouj, Bushra;Jarrah, Moath"
A Novel and Low Processing Time ECG Security Method Suitable for Sensor Node Platforms,Apr,2018,"Jusak, Jusak;Mahmoud, Seedahmed S"
Biometric Face Recognition Based on Enhanced Histogram Approach,Apr,2018,"Al-Shayea, Qeethara;Al-Ani, Muzhir"
Fuzzy Rule Based Inference System for Implementation of Naval Military Mission,Apr,2018,"Singh, Rashmi;Saxena, Vipin"
SRAD: Smart Routing Algorithm Design for Supporting IoT Network Architecture,Apr,2018,"Monsakul, Annop"
A Biometric Security Model for Wearable Healthcare,,2018,
A Survey of Big Data Security Solutions in Healthcare,,2018,
An evaluation model for information security strategies in healthcare data systems,,2018,
Big healthcare data: preserving security and privacy,,2018,
Blockchain: A Panacea for Healthcare Cloud-Based Data Security and Privacy? IEEE Cloud Comput,,2018,
Can Information Security Awarness Mitigate Resistance Towards Patients Healthcare Portals? AMCIS 2018,,2018,
Context-Based Security and Privacy for Healthcare IoT,,2018,
Counter Measuring Conceivable Security Threats on Smart Healthcare Devices,,2018,
Cyber Security Challenges of Deploying IoT in Smart Cities for Healthcare Applications,,2018,
Hardware Security Evaluation Platform for MCU-Based Connected Devices: Application to Healthcare IoT,,2018,
IoT security perspective of a flexible healthcare supply chain,,2018,
Malware Detection for Healthcare Data Security,,2018,
Meaningful Healthcare Security: Does Meaningful-Use Attestation Improve Information Security Performance? MIS Q,,2018,
Mobile Technology in Healthcare Environment: Security Vulnerabilities and Countermeasures,,2018,
Perception of information systems security: serving healthcare industry in Dubai,,2018,
Performance Analysis of End-to-End Security Schemes in Healthcare IoT,,2018,
POStCODE Middleware for Post-Market Surveillance of Medical Devices for Cyber Security in Medical and Healthcare Sector in Australia,,2018,
Security and Privacy Issues with IoT in Healthcare,,2018,
Security model for Big Healthcare Data Lifecycle,,2018,
Towards Smart Healthcare: Patient Data Privacy and Security in Sensor-Cloud Infrastructure,,2018,
Trust based Security Solution for Internet of Things Healthcare Solution: An End-to-End Trustworthy Architecture,,2018,
Understanding Healthcare Data Breaches: Crafting Security Profiles,,2018,
"Weighing benefits and risks in aspects of security, privacy and adoption of technology in a value-based healthcare system",,2018,
Lightweight Security and Privacy Scheme for Wireless Body Area Network in E-Health System,Sep,2017,"Olakanmi, Oladayo O"
Attribute based access control scheme with controlled access delegation for collaborative E-health environments,Oct,2017,Harsha S. Gardiyawasam Pussewalage; Vladimir A. Oleshchuk
Multi-dimensional Range Query on Outsourced Database with Strong Privacy Guarantee,Oct,2017,"Do Hoang Giang;Ng, Wee Keong"
Comparative Analysis of KNN Algorithm using Various Normalization Techniques,Nov,2017,"Pandey, Amit;Jain, Achin"
Enhancing the QoS of IoT Networks with Lightweight Security Protocol using Contiki OS,Nov,2017,"Qushtom, Haytham;Khalid Rabaya’h"
Enhancing Software Reliability against Soft-Error using Minimum Redundancy on Critical Data,May,2017,"Keshtgar, Saeid A;Arasteh, Bahman B"
Evaluation of Secure Cloud Transmission Protocol,Mar,2017,"Dinesha, H A;Rao, D H"
Improved Anti-Collision Algorithm for Tag Identification in Future Internet of Things,Mar,2017,"Moshref, Mahmoud"
Analysis of QoS in Software Defined Wireless Network with Spanning Tree Protocol,Jun,2017,"Mustafiz, Rafid;Abu Sayem Mohammad Delowar Hossain;Islam, Nazrul;Rahman, Mohammad Motiur"
Secure and Privacy-Preserving Referral Framework for E-Health System,Jun,2017,"Olakanmi, Oladayo; Kamil, Ismaila; Ogundoyin, Sunday"
Comparative Performance Analysis between nRF24L01+ and XBEE ZB Module Based Wireless Ad-hoc Networks,Jul,2017,"Saha, Himadrinath;Mandal, Shashwata;Mitra, Shinjan;Banerjee, Soham;Saha, Urmi"
Social Engineering: I-E based Model of Human Weakness for Attack and Defense Investigations,Jan,2017,"Fan, Wenjun;Lwakatare, Kevin;Rong, Rong"
Medical Image Steganography: Study of Medical Image Quality Degradation when Embedding Data in the Frequency Domain,Feb,2017,"Khalil, M I"
An Analytical Study of Cellular Automata and its Applications in Cryptography,Dec,2017,"Kumaresan, G;Gopalan, N P"
Biometric Verification on e-ID-Card Secure Access Devices: A Case Study on Turkish National e-ID Card Secure Access Device Specifications,Dec,2017,"Bostan, Atila; ?engü, Gökhan; Karakaya, K. Murat"
Enhanced Ant-Based Routing for Improving Performance of Wireless Sensor Network,Dec,2017,"Nasir, Husna Jamal Abdul;Ku-Mahamud, Ku Ruhana;Kamioka, Eiji"
Estimating the Sample Size for Training Intrusion Detection Systems,Dec,2017,"Wahba, Yasmen;ElSalamouny, Ehab;ElTaweel, Ghada"
Health care group reports privacy breach,Dec,2017,Kelsey Landis
New Key Generation and Encryption Algorithms for Privacy Preservation in Mobile Ad Hoc Networks,Dec,2017,"Amiruddin;Ratna, Anak Agung Putri;Sari, Riri Fitri"
State of the Art in Biometric Key Binding and Key Generation Schemes,Dec,2017,"Jegede, Abayomi;Udzir, Nur Izura;Abdullah, Azizol;Mahmod, Ramlan"
"A Comprehensive Cloud Security Model with Enhanced Key Management, Access Control and Data Anonymization Features",Aug,2017,"Mini, G Venifa;Viji, K S Angel"
Distributed Fault-Tolerant Algorithm for Wireless Sensor Network,Aug,2017,"Titouna, Chafiq;Gueroui, Mourad;Aliouat, Makhlouf;Ari, Ado Adamou Abba;Amine, Adouane"
PFPS: Priority-First Packet Scheduler for IEEE 802.15.4 Heterogeneous Wireless Sensor Networks,Aug,2017,"Sarode, Sambhaji;Bakal, Jagdish"
Anomaly Detection System in Secure Cloud Computing Environment,Apr,2017,"Hu, Zhengbing;Gnatyuk, Sergiy;Koval, Oksana;Gnatyuk, Viktor;Bondarovets, Serhii"
Implementation and Optimization of RWP Mobility Model in WSNs Under TOSSIM Simulator,Apr,2017,"Guezouli, Lyamine;Barka, Kamel;Bouam, Souheila;Zidani, Abdelmadjid"
"Internet of Things: A Review on Technologies, Architecture, Challenges, Applications, Future Trends",Apr,2017,"Kaur, Jaideep;Kaur, Kamaljit"
Performance Enhancement of Wearable Antenna Using High Impedance Surfaces,Apr,2017,"Bashir, Shahid;Khan, M Salman;Jan, Khadim Ullah;Ullah, Sadiq"
Symmetric Key Encryption using Iterated Fractal Functions,Apr,2017,"Agarwal, Shafali"
A framework for providing security to Personal Healthcare Records,,2017,
A Linguistic Approach to Information Security Awareness Education in a Healthcare Environment,,2017,
A Security Model for Preserving the Privacy of Medical Big Data in a Healthcare Cloud Using a Fog Computing Facility With Pairing-Based Cryptography,,2017,
Analysis of Security in Big Data Related to Healthcare,,2017,
Big data security and privacy in healthcare: A Review,,2017,
Checking and Enforcing Security Through Opacity in Healthcare Applications,,2017,
Complexity of Cyber Security Architecture for IoT Healthcare Industry: A Comparative Study,,2017,
Coping with Information Security Stressors in Healthcare,,2017,
Cyber-Security Issues in Healthcare Information Technology,,2017,
Design and Implementation of Security in Healthcare Cloud Computing,,2017,
Design of cloud security in the EHR for Indian healthcare services,,2017,
Evaluation and Adoption of Security Standards to Improve Information Security in Healthcare Administration Systems,,2017,
Finger ECG-based authentication for healthcare data security using artificial neural network,,2017,
Healthcare Professionals' Views on Security - A Text Analytical Approach,,2017,
Internet of Things Security: A Review of Risks and Threats to Healthcare Sector,,2017,
Introduction to Security and Privacy Challenges for Healthcare Minitrack,,2017,
Organizational Challenges to Assimilating Security Policies and Practices in US Healthcare Organizations,,2017,
Proposing a modeling framework for minimizing security vulnerabilities in IoT systems in the healthcare domain,,2017,
Robust fingerprint verification for enhancing security in healthcare system,,2017,
"Security Analysis of ""PSLP: Privacy-Preserving Single-Layer Perceptron Learning for e-Healthcare""",,2017,
Security And Privacy Issues in Healthcare Monitoring Systems: A Case Study,,2017,
The Socio-Technical Impact on Security of the Healthcare Internet of Things in the Use of Personal Monitoring Devices ,,2017,
Towards a Biometric Authentication-Based Hybrid Trust-Computing Approach for Verification of Provider Profiles in Online Healthcare Information,,2017,
When Do IT Security Investments Matter? Accounting for the Influence of Institutional Factors in the Context of Healthcare Data Breaches,,2017,
A Novel Scheme for Image Authentication and Secret Data Sharing,Sep,2016,"Auqib Hamid Lone;Ab Waheed Lone;Uddin, Moin"
On Statistical Behavioral Investigations of Body Movements of Human Body Area Channel,Oct,2016,"Kaur, Sukhraj;Malhotra, Jyoteesh"
Mobile-Based Medical Emergency Ambulance Scheduling System,Nov,2016,"Bassey Isong;Dladlu, Nosipho;Tsholofelo Magogodi"
Impact of Wireless Channel Model on 802.15.6 Standard Performance for Wireless Body Sensor Networks,May,2016,"Maryam El azhari;Toumanari, Ahmed;Latif, Rachid;Nadya El moussaid"
Optimized Communication of Group Mobility in WPAN,Mar,2016,"Lata, Suman;Goel, Naveen"
A Framework for Studying New Approaches to Anomaly Detection,Jun,2016,"Yolacan, Esra N.; Kaeli, David R"
Clustering in Wireless Sensor Networks- A Survey,Jun,2016,"Kaur, Sukhkirandeep;Roohie Naaz Mir"
Effectiveness and performance analysis of model-oriented security requirements engineering to elicit security requirements: a systematic solution for developing secure software systems,Jun,2016,"Salini, P.; Kanmani, S"
Secured ECG signal transmission for human emotional stress classification in wireless body area networks,Jan,2016,Hansong Xu and Kun Hua
A Database as a Service for the Healthcare System to Store Physiological Signal Data.,Feb,2016,"Chang HT; Lin TH, PloS one [PLoS One], ISSN: 1932-6203, 2016 Dec 29; Vol"
Dynamic Fair Priority Optimization Task Scheduling Algorithm in Cloud Computing: Concepts and Implementations,Feb,2016,"Saxena, Deepika;Chauhan, R K;Kait, Ramesh"
A Benchmark for Performance Evaluation and Security Assessment of Image Encryption Schemes,Dec,2016,"Nisar, Ahmed;Hafiz Muhammad Shahzad Asif;Saleem, Gulshan"
Calculating and Evaluating Trustworthiness of Certification Authority,Dec,2016,"El uahhabi, Zakia;El bakkali, Hanan"
Delay Tolerant Networks: An Analysis of Routing Protocols with ONE Simulator,Dec,2016,"Thakur, Richa;Bansal, K L"
How Secure is Your Smart Watch?,Dec,2016,"Karakaya, Murat; Bostan, Atila; Gökçay, Erhan"
Security and Privacy Issues in IoT,Dec,2016,"Aqeel-ur-Rehman;Rehman, Sadiq Ur;Khan, Iqbal Uddin;Moiz, Muzaffar;Hasan, Sarmad"
Cuckoo Genetic Optimization Algorithm for Efficient Job Scheduling with Load Balance in Grid Computing,Aug,2016,"Singh, Rachhpal"
Relay Based Thermal Aware and Mobility Support Routing Protocol for Wireless Body Sensor Networks,Aug,2016,"el Azhari, Maryam;Toumanari, Ahmed;Latif, Rachid;el Moussaid, Nadya"
Study of Multi-Classification of Advanced Daily Life Activities on SHIMMER Sensor Dataset,Aug,2016,"Mehmood, Amir;Raza, Akhter;Nadeem, Adnan;Saeed, Umair"
Copyright Protection for Digital Images using Singular Value Decomposition and Integer Wavelet Transform,Apr,2016,"Singh, Siddharth;Siddiqui, Tanveer J"
Cross-Layer Routing Based on Semantic Web Services Discovery with Energy Evaluation and Optimization in MANET,Apr,2016,"Ayad, Soheyb;Kazar, Okba;Benharkat, Nabila-Aicha;Terrissa, Labib-Sadek"
Formal Verification of NTRUEncrypt Scheme,Apr,2016,"Moghissi, Gholam Reza;Payandeh, Ali"
A Privacy-Preserving Remote Healthcare System Offering End-to-End Security,,2016,
A Security Analysis of Cyber-Physical Systems Architecture for Healthcare,,2016,
Always connected: The security challenges of the healthcare Internet of Things,,2016,
Analysis of Security Protocols for Mobile Healthcare,,2016,
Can HIT Work Alone? A Security and Socio-Economic Perspective of Healthcare Quality,,2016,
Consumer Health Innovation Opportunities and Privacy Challenges: A View from the Trenches,,2016,
Data security and privacy management in healthcare applications and clinical data warehouse environment,,2016,
Encryption as a service for data healthcare cloud security,,2016,
End-to-end security scheme for mobility enabled healthcare Internet of Things,,2016,
"Graph-based algorithms and models for security, healthcare, and finance",,2016,
Healthcare SaaS Based on a Data Model with Built-In Security and Privacy,,2016,
Security and Privacy Practices in Healthcare Information Systems: A Cluster Analysis of European Hospitals,,2016,
Security approach to controlling access to personal health records in healthcare service,,2016,
Security Context Framework for Distributed Healthcare IoT Platform,,2016,
Towards Autonomic Security Management of Healthcare Information Systems,,2016,
Understanding Cyber Security Perceptions Related to Information Risk in a Healthcare Setting,,2016,
Your life in your hands: the security issues with healthcare apps,,2016,
Deployment of a posteriori access control using IHE ATNA,Oct,2015,"Azkia, Hanieh; Cuppens-Boulahia, Nora; Cuppens, Frédéric; Coatrieux, Gouenou; Oulmakhzoune, Said"
Enhanced Voting based Secure Localization for Wireless Sensor Networks,Nov,2015,"Nirmala, M B;Manjunatha, A S"
Extended K-Anonymity Model for Privacy Preserving on Micro Data,Nov,2015,"Rahimi, Masoud;Bateni, Mehdi;Mohammadinejad, Hosein"
Flexible attribute-based encryption applicable to secure e-healthcare records,Nov,2015,"Qin, Bo; Deng, Hua; Wu, Qianhong; Domingo-Ferrer, Josep; Naccache, David; Zhou, Yunya"
Performance Analysis of Anti-Phishing Tools and Study of Classification Data Mining Algorithms for a Novel Anti-Phishing System,Nov,2015,"Gupta, Rajendra;Shukla, Piyush Kumar"
Privacy-preserving personal health record using multi-authority attribute-based encryption with revocation,Nov,2015,"Qian, Huiling; Li, Jiguo; Zhang, Yichen; Han, Jinguang"
Security and privacy of electronic health information systems,Nov,2015,"Bertino, Elisa; Deng, Robert; Huang, Xinyi; Zhou, Jianying"
ANM to Perceive and Thwart Denial of Service Attack in WLAN,May,2015,"Durairaj, M;Persia, A"
Robustness Analysis of Privacy-Preserving Hybrid Recommendation Algorithm,Mar,2015,"Gune, ?hsan; Polat, Hüseyin"
Digital Forensic Analysis on Prefetch Files,Jun,2015,"Shashidhar, Narasimha; Novak, Dylan"
New Region Growing based on Thresholding Technique Applied to MRI Data,Jun,2015,"Afifi, A;Ghoniemy, S;Zanaty, E A;El-Zoghdy, S F"
Hardware Implementation of Fidelity based On Demand Routing Protocol in MANETs,Jul,2015,"Saha, Himadri N;Singh, Rohit;Bhattacharyya, Debika"
Technology Implications of UWB on Wireless Sensor Network-A detailed Survey,Dec,2015,"Ayub, Kamran;Zagurskis, Valerijs"
Behaviour reflects personality: detecting co-residence attacks on Xen-based cloud environments,Aug,2015,"Pitropakis, Nikolaos; Pikrakis, Aggelos; Lambrinoudakis, Costas"
Formal modeling and automatic enforcement of Bring Your Own Device policies,Apr,2015,"Armando, Alessandro; Costa, Gabriele; Merlo, Alessio; Verderame, Luca"
A Fast and Accurate Iris Localization Technique for Healthcare Security System,,2015,
BPMN Security Extensions for Healthcare Process+A162:A188,,2015,
Hadoop-Based Healthcare Information System Design and Wireless Security Communication Implementation,,2015,
Healthcare security: A course engaging females in cybersecurity education,,2015,
Improving the redistribution of the security lessons in healthcare: An evaluation of the Generic Security Template,,2015,
Investigating Big Data Healthcare Security Issues with Raspberry Pi,,2015,
Models in healthcare simulation: typology and security issues,,2015,
Network security metrics and performance for healthcare systems management,,2015,
Participative Design of a Security Risk Reference Model: an Experience in the Healthcare Sector,,2015,
Protecting Patient Data-The Economic Perspective of Healthcare Security,,2015,
Public Perspectives of Mobile Phones' Effects on Healthcare Quality and Medical Data Security and Privacy: A 2-Year Nationwide Survey,,2015,
Security Analysis of an IoT Architecture for Healthcare,,2015,
Security and acceptance of cloud computing in healthcare,,2015,
Security and Privacy for Mobile Healthcare Networks,,2015,
Security and privacy for mobile healthcare networks: from a quality of protection perspective,,2015,
Security and privacy framework for ubiquitous healthcare IoT devices,,2015,
Security concerns of cloud-based healthcare systems: A perspective of moving from single-cloud to a multi-cloud infrastructure,,2015,
Security for mobile and cloud frontiers in healthcare,,2015,
"Security, Privacy, and Applications in Mobile Healthcare",,2015,
Session Resumption-Based End-to-End Security for Healthcare Internet-of-Things,,2015,
The Market Effect of Healthcare Security: Do Patients Care about Data Breaches,,2015,
Towards a model for enhancing ICT4 development and information security in healthcare system,,2015,
Understanding data flow and security requirements in wireless Body Area Networks for healthcare,,2015,
Design of 8-bit Dedicated Microprocessor for Content Matching in NIDPS,Sep,2014,"Georgiev, Dejan"
Hardware Realization of Fast Multi-Scalar Elliptic Curve Point Multiplication by Reducing the Hamming Weights Over GF(p),Sep,2014,Nagaraja Shylashree;Venugopalachar Sridhar
Trust Metric based Soft Security in Mobile Pervasive Environment,Sep,2014,"Madhu Sharma Gaur;Pant, Bhaskar"
3-Level DWT Image Watermarking Against Frequency and Geometrical Attacks,Nov,2014,"Ahmad, Asma;Sinha, G R;Kashyap, Nikita"
Improved Anonymization Algorithms for Hiding Sensitive Information in Hybrid Information System,May,2014,"Geetha, Mary A;Acharjya, D P;N Ch S N Iyengar"
Secure and Fast Chaos based Encryption System using Digital Logic Circuit,May,2014,"Khare, Ankur A;Shukla, Piyush B;Silakari, Sanjay C"
A Comparative Study of Key Management Protocols for WSN,Mar,2014,"Verma, Seema;Prachi"
An Image Encryption Scheme Based on Chaotic Systems with Changeable Parameters,Mar,2014,"Ye, Ruisong;Guo, Wenhua"
Review of Segmentation Methods for Brain Tissue with Magnetic Resonance Images,Mar,2014,"Agrawal, Ritu;Sharma, Manisha"
Task Assignment for Heterogeneous Computing Problems using Improved Iterated Greedy Algorithm,Jun,2014,"Mohan, R;Gopalan, N P"
An Improved Non-Repudiate Scheme-Feature Marking Voice Signal Communication,Jan,2014,"Remya, A R;Sreekumar, A;Supriya, M H;Tibin, Thomas"
Enhanced Role Based Access Control Mechanism for Electronic Examination System,Feb,2014,"Adebukola Onashoga;Abayomi-Alli, Adebayo;Timileyin Ogunseye"
Public vs Private vs Hybrid vs Community - Cloud Computing: A Critical Review,Feb,2014,"Goyal, Sumit"
Research on Application of Perceived QoS Guarantee through Infrastructure Specific Traffic Parameter Optimization,Feb,2014,"Vikram Jeet Singh;Kumar, Vikram;Kishori Lal Bansal"
A Fuzzy Logic based Defense Mechanism against Distributed Denial of Service Attack in Cloud Computing Environment,Dec,2014,"Iyengar, N Ch S N;Banerjee, Arindam;Ganapathy, Gopinath"
A Light-weight Symmetric Encryption Algorithm Based on Feistel Cryptosystem Structure,Dec,2014,"Zheng, Jingli;Hu, Zhengbing;Lu, Chuiwei"
An Improvement over a Server-less RFID Authentication Protocol,Dec,2014,"Pourpouneh, Mohsen;Ramezanian, Rasoul;Salahi, Fatemeh"
Analysis and Comparison of Access Control Policies Validation Mechanisms,Dec,2014,"Aqib, Muhammad;Riaz Ahmed Shaikh"
Performance Evaluation of Distributed Protocols Using Different Levels of Heterogeneity Models in Wireless Sensor Networks,Dec,2014,"Singh, Samayveer;Chand, Satish;Kumar, Bijendra"
A Comprehensive Review of Distributed Coding Algorithms for Visual Sensor Network (VSN),Aug,2014,"Ebrahim, Mansoor;Chong, Chai Wai"
Integrity Analysis of Multimedia File Transmission between Mobile Phones,Aug,2014,"Sweta Deana Bye Dhondoo;Ramnarain-Seetohul, Vidasha;Razvi Doomun"
Optimizing Concentric Circular Antenna Arrays for High-Altitude Platforms Wireless Sensor Networks,Apr,2014,"Albagory, Yasser;Said, Omar"
Security in Cloud Computing: Social Psychology Systems,Apr,2014,
Survey on Lightweight Primitives and Protocols for RFID in Wireless Sensor Networks,Apr,2014,"Manjulata, Adarsh Kumar"
Enhancing the Capacity of Stratospheric Cellular Networks Using Adaptive Array Techniques,May,2013,Sultan Aljahdali
Generation of An Efficient Digital Watermark Key Based on Honey Comb Polynomial Interpolation Approach,Mar,2013,"RoslineNesakumari, G;Vijayakumar, V;Ramana Reddy, B V"
Geographic Load Balanced Routing in Wireless Sensor Networks,Jun,2013,"Guleria, Robin;Jain, Ankit Kumar"
Training And Testing Anomaly-Based Neural Network Intrusion Detection Systems,Jun,2013,"Ray, Loye Lynn"
"Performance Analysis of AODV, CBRP, DSDV and DSR MANET Routing Protocol using NS2 Simulation",Jul,2013,"Kumar, Awadhesh;Singh, Prabhat;Kumar, Vinay;Tyagi, Neeraj"
Video Forensics in Temporal Domain using Machine Learning Techniques,Jul,2013,"Jaiswal, Sunil;Dhavale, Sunita"
Hybrid Model for Location Privacy in Wireless Ad-Hoc Networks,Jan,2013,"Jagdale, Balasaheb N;Gawande, Nileema S"
Study the One-bit Hard Combination Scheme on Cognitive Radio Users,Feb,2013,"Hossain, Md Shamim;Mohammad Mamunur Rashid;Islam, Md Nazrul;Abdullah-Al-Mashud, Md;Md Nurul Islam"
A Survey on Dynamic Spectrum Access Techniques in Cognitive Radio Networks,Aug,2013,"Benmammar, Badr;Amraoui, Asma;Krief, Francine"
Dynamic Model on the Transmission of Malicious Codes in Network,Aug,2013,"Mishra, Bimal Kumar;Prajapati, Apeksha"
Omni Directional Antenna Assisted Scheme to Minimize Redundancy in Wireless Sensor Networks,Apr,2013,"Dubey, Tarun;Sahu, O P"
Automated Identification Technology and Information Security in Digital Hospitals,,2013,"Lidong Wang, Cheryl Ann Alexander"
Adaptive Steganography: A survey of Recent Statistical Aware Steganography Techniques,Sep,2012,"Mahajan, Manish;Kaur, Navdeep"
New constructions of OSBE schemes and their applications in oblivious health data access control,Nov,2012,"Han, Jinguang; Susilo, Willy; Mu, Yi; Yan, Jun"
The suffix-free-prefix-free hash function construction and its indifferentiability security analysis in healthcare systems,Nov,2012,"Bagheri, Nasour; Gauravaram, Praveen; Knudsen, Lars; Zenner, Erik"
An Enhanced Dynamic Mutual Authentication Scheme for Smart Card Based Networks,May,2012,"S Santhosh Baboo;Gokulraj, K"
Evaluation of IP Multimedia Subsystem based Mobile Mass Examination System,May,2012,"Barnawi, Ahmed;Altalhi, Abdulrahman H;M Rizwan Jameel Qureshi;Asif Irshad Khan"
Error Detection &amp; Correction in Wireless Sensor Networks By Using Residue Number Systems,Mar,2012,"Roshanzadeh, M;Saqaeeyan, S"
Improved Classification Methods for Brain Computer Interface System,Mar,2012,"Fang, YI;LI, Hao;JIN Xiaojie"
Improved Multi-Path and Multi-Speed Routing Protocol in Wireless Sensor Networks,Mar,2012,"Saqaeeyan, S;Roshanzadeh, M"
Semifragile Watermarking Schemes for Image Authentication- A Survey,Mar,2012,"Tiwari, Archana;Sharma, Manisha"
Deliberate Secure Grid Computing Blueprint Design in Indian Context,Jun,2012,"Puri, Sanjeev;Dev, Harsh"
IEATH: Improved Energy Aware and Two Hop Multipath Routing Protocol in Wireless Sensor Networks,Jun,2012,"Saqaeeyan, S;Roshanzadeh, M"
Security Aspects and Challenges in Mobile Adhoc Networks,Jun,2012,"Moses, G Jose;Varma, P Suresh;Supriya, N;NagaSatish, G"
An Efficient Chaos-based Image Encryption Scheme Using Affine Modular Maps,Jul,2012,"Ye, Ruisong;Zhao, Haiying"
Estimating the Video Registration Using Image Motions,Jul,2012,"N Kannaiya Raja;Arulanandam, K;R Radha krishnan;Nataraj, M"
Impact of Physical Layer Jamming on Wireless Sensor Networks with Shadowing and Multicasting,Jul,2012,"Bahl, Nischay;Sharma, Ajay K;Verma, Harsh K"
A Chaos-based Image Encryption Scheme Using 3D Skew Tent Map and Coupled Map Lattice,Feb,2012,"Ye, Ruisong;Zhou, Wei"
Achieving Open-loop Insulin Delivery using ITM Designed for T1DM Patients,Feb,2012,"Rajak, Akash;Saxena, Kanak"
Cascading of C4.5 Decision Tree and Support Vector Machine for Rule Based Intrusion Detection System,Aug,2012,"Koshal, Jashan;Bag, Monark"
Impact of queue buffer size awareness on single and multi service real-time routing protocols for WSNs,Aug,2012,"Fdili, Othmane Alaoui;Fakhri, Youssef;Aboutajdine, Driss"
Enhanced Clustering Routing Protocol for Power-Efficient Gathering in Wireless Sensor Network,Apr,2012,"Hussaini, M;Bello-Salau, H;Salami, A F;Anwar, F;Abdalla, A H;Islam, Md Rafiqul"
Surveying Position Based Routing Protocols for Wireless Sensor and Ad-hoc Networks,Apr,2012,"Popescu, Ana Maria;Tudorache, Ion Gabriel;Peng, Bo;Kemp, A H"
Identity Authentication and Context Privacy Preservation in Wireless Health Monitoring System,Jun,2011,"Huang, Qiming;Yang, Xing;Li, Shuang"
User-friendly and certificate-free grid security infrastructure in EHRs,Jul,2011,"Crampton, Jason; Lim, Hoon; Paterson, Kenneth; Price, Geraint"
Measuring Corporate Social Responsibility Based on a Fuzzy Analytical Hierarchy Process,Aug,2011,"Chen, Shouming;Fan, Jiasi"
Fractional biometrics: safeguarding privacy in biometric applications,Feb,2010,"Bayly, Duncan; Castro, Maurice; Arakala, Arathi; Jeffers, Jason; Horadam, Kathy"
Code Formal Verification of Operation System,Dec,2010,"Zhang, Yu;Dong, Yunwei;Huo, Hong;Zhang, Fan"
Securing Wireless Sensor Networks with An Efficient B+ Tree-Based Key Management Scheme,Dec,2010,"Rasul, Khadija;Nuerie, Nujhat;Pathan, Al-Sakib Khan"
Performance Evaluation of Energy Efficient Modulation Scheme and Hop Distance Estimation for WSN,Apr,2010,"Padmavathy, M Chitra"
Video Data Hiding for Managing Privacy Information in Hospital Surveillance Systems,Oct,2009,"JithendraK Paruchuri, Sen-chingS Cheung and MichaelW Hail"
An Approach against a Computer Worm Attack,Aug,2009,"Toutonji, Ossama;Yoo, Seong-Moo"
Assessing the ‘insider–outsider threat’ duality in the context of the development of public–private partnerships delivering ‘choice’ in healthcare services: A sociomaterial critique,Nov,2008,Iain Crinson
The NHS as a proving ground for cryptosystems,July,2003,Chris R Dalton
